text,label
"Apparently, this is what happens when a director allows his 14-year old nephew to rewrite the dialogue on the set while he indulges himself alcoholically in the meantime; as I said earlier, although I've always wanted to catch one of Paul Naschy's werewolf pictures, this atrocity served as my introduction and, as awful as it most certainly is, I still intend to pursue other entries in the series, albeit very gradually.<br /><br />Despite some high profile disappointments like Joe Dante's THE HOWLING (1981), I love werewolf pictures in general but, to be honest, I quickly lost interest in this film's ""plot"" and just stood there gazing at my TV screen counting its absurdities as it were. There were far too many to mention them here but I have to say two which struck me as particularly hilarious were the schizophrenic nature of the Werewolf persona (i.e. going from a raging beast in one shot to a dazed, zombie-like state in the very next one - as if he's on a casual midnight stroll in the countryside, and sporting an entirely different wardrobe to boot...and, yes, I did know the reasons for this beforehand), as well as the ""Phantom Of The Opera"" look of the Wolfstein character! But what do I know - perhaps the elusive full-length version of this mess could very well have been a bona-fide horror classic!",0
"An absolutely wretched waste of film!! Nothing ever happens. No ghosts, hardly any train, no mystery, no interest. The constant and BRUTAL attempts at comedy are painful. Everything else is pathetic. The premise is idiotic: a bunch of people stranded in the middle of no-place, because their train was held up for less than 3 minutes. What? And the railroad leaves them no place to stay, in a heavy storm? I think not. Oh, they can walk 4 miles across the dead-black fields. umm, yeah. Sure. Or, they can force themselves on the railroad's hospitality, and stay at the 'haunted' train station. A station which proved to be nothing but DEADLY BORING, utterly without ghosts, interest, or plot.<br /><br />So very terribly dull that this seems impossible.<br /><br />This ought to be added to the LOST FILMS list !! aargh !!",0
"The story and the show were good, but it was really depressing and I hate depressing movies. Ri'Chard is great. He really put on a top notch performance, and the girl who played his sister was really awesome and gorgeous. Seriously, I thought she was Carmen Electra until I saw the IMDb profile. I can't say anything bad about Peter Galleghar. He's one of my favorite actors. I love Anne Rice. I'm currently reading the Vampire Chronicles, but I'm glad I saw the movie before reading the book. This is a little too""real"" for me. I prefer Lestat and Louis's witty little tiffs to the struggles of slaves. Eartha Kitt was so creepy and after her character did what she did The movie was ruined for me; I could barely stand to watch the rest of the show. (sorry for the ambiguity, but I don't want to give anything away) Sorry, but it's just not my type of show.",0
"I haven't been able to decide if this movie is so bad it's good, or, to quote Enid Coleslaw, ""so bad it's gone past good and back to bad again."" No matter, it forced me look much the same way a pile of weird coloured vomit might, and it offers up a number of scenes that you won't forget even if you want to. There's a sneering young Ray Liotta telling a pigtailed Pia that her creative writing trophy looks like a penis. A bit later, there's Ray again, molesting Pia, not with the appropriately shaped trophy but a garden hose. There's a firm chinned Pia telling her domineering Mom that she wants to go to bed with Ray's geezer father, Walter. There's the actress in the graveyard scene yowling the best line ever written by Pia or anyone else: ""WWWWHHHYYYYYYY!"" There's that garden hose again, as Walter waves it Pia's face and roars ""Is this more to your liking!?"" There's Pia and her date so turned on by closeups of each other masticating salad that they start tearing each other's clothes off. There's Pia showering but forgetting to remove her dress. Perhaps best of all, there's Pia's typewriter, but instead of keys there are the miniature talking heads of those who have tormented her the most (afterwards, I was afraid to open my laptop). And finally there's Pia at ""The Awards"" exposing Hollywood for the cesspool it is, spitting out the second best line ever, ""I guess I'm not the only one who has ever had to **** her way to the top."" I see I have already spent more time commenting on ""The Lonely Lady"" than I have on far better pictures, so I'll quit. Be forewarned, though, that once you start watching you probably won't be able to take your eyes off the screen until two hours of your life have vanished forever.",0
"They had an opportunity to make one of the best romantic tragedy mafia movies ever because they had the actors,the budget,and the story but the great director John Huston was too preoccupied trying to mellow out this missed classic.Strenuously trying to find black humor as often as possible which diluted the movie very much.And also they were so uncaring with details like sound and detailed action.Maybe it was the age of the director who passed away two years later.",0
"What the hell is in your minds ? This film sucks ! Each minute I was getting more and more bored. I strove to watch the end because I hope something at least would at last happen ! But instead of that, I got amazed how dull the end was treated... What is this story about this bloody ""bogeyman"" ? How comes he doesn't die ? He is a bloody human being for God's sake ! A mere boy that killed his silly sister 15 years ago. Then what ? His stay on a psychiatric hospital made him immortal ? This film a fascinatingly stupid... It's a must of silliness. I'm gonna resell it right now to some silly guy who will understand this silly film.",0
"WORST MOVIE EVER!!!! Can't believe I wasted 90min of my life watching this crap. The only reason I didn't turn it off was I wanted to see the Gangster dude on the cover and he wasn't even in it talk about False advertising. The people that gave this movie a ten are either Dumb,Stupid or CAST MEMBERS or friends of CAST MEMBERS.<br /><br />I gave it a solid 2 because no one else did<br /><br />I have to write more and I don't even want to. wasting my time talking about this rubbish. Please don't watch it and if you did then vote so this movie can go where it belongs. bottom 100 movies. i can't even tell you how bad it really is. think the worst movie ever that you've seen then times that be ten and thats this movie. It sucked!! If you just think I'm being bitter then watch it I dare You!! This movie should be used to torture war criminals or Terriosts. If they Watch this even two times and they'll be spilling the beans and begging for MERCY!!",0
"Paul Armstrong is a liberal, Scottish-born, professor of law at Harvard, known for his passionate opposition to the death penalty, who is hired to take on the case of Bobby Earl, a young black man from Florida who has been convicted of the rape and murder of Joanie Shriver, an eleven year old white girl. Earl claims that his confession to the crime was obtained under duress by a sadistic police officer and that the real murderer is Blair Sullivan, a serial killer already under sentence of death for several other murders. Armstrong visits Sullivan in his cell on death row, hoping to persuade him to confess to Joanie's murder, thereby saving Earl from the electric chair. <br /><br />At first all goes well. Sullivan confesses and Earl is released from prison when the appeal court quashes his conviction. As this development takes place only a little after halfway through the film, it is at this point that alarm bells will start ringing in the mind of the viewer. ""Warning! Major plot twist ahead!"" And so it proves. The anticipated twist soon materialises. Earl, it transpires, is actually guilty of the crime of which he has just been acquitted, and probably of several others as well, but hatched a diabolical plan together with Sullivan in order to secure his freedom; Sullivan will confess to Joanie's murder if Earl will murder his parents. (Just why Sullivan wanted his parents dead is never precisely explained). Armstrong now finds that he is himself in danger from the man whose life he has just saved; Earl has a grudge against Armstrong's wife, herself a lawyer, who acted as Counsel for the prosecution in an earlier case when Earl was accused of rape. <br /><br />""Just Cause"" is an example of the auto-cannibalism in which Hollywood sometimes likes to indulge, cobbling together one film by recycling themes and plot devices from a number of others. The first half owes an obvious debt to films like ""Intruder in the Dust"" and ""To Kill a Mockingbird""; about the only difference is that the Sheriff who beats a confession out of Bobby Earl is himself black, whereas in earlier films he would have been white. (Police brutality is now an equal opportunities activity). The central twist in the plot was borrowed from Costa-Gavras's ""Music Box"", although in that film the revelation does not occur until the very end. The finale, in which a lawyer, his wife and their young daughter are in danger from a former client, is an obvious plagiarism of the two versions of ""Cape Fear"", which also take place in the swamplands of the American South. Ed Harris' characterisation of Sullivan as a Bible-quoting religious maniac is a direct imitation of Robert de Niro's character in the Scorsese version of ""Cape Fear"", made four years before ""Just Cause"". <br /><br />(There is a postscript. Just as ""Just Cause"" borrowed heavily from several other movies, seven years later its central plot twist was, in its turn, to be blatantly plagiarised in the Ashley Judd vehicle ""High Crimes""). <br /><br />The trouble with this style of film-making-by-numbers is that the resulting films are generally much less distinguished than those which inspired them. The whole is normally very much less than the sum of the parts, and ""Just Cause"" is a much lesser film than any of those which were cannibalised to make it. Harris is normally a gifted actor but this is one of his weakest performances, largely because he is not so much playing a character as playing de Niro playing Max Cady. Blair Underwood is OK as Bobby Earl the (supposedly) innocent young man of the early scenes, but unconvincing as Bobby Earl the murderous psychopath of the later ones. Sean Connery as Armstrong and Laurence Fishburne as the black Sheriff are rather better, but neither is good enough to save the film. (Connery and Harris were to act together in another, better, film, ""The Rock"", the following year). <br /><br />There is another problem with ""Just Cause"". The first half of the film looks like a standard liberal ""issue"" movie, anti-death penalty, anti-racist and critical of heavy-handed policing. The second half looks more like the work of a die-hard reactionary, preaching the message that all criminals are evil bastards, that the only way to deal with them is to fry them in the chair, that liberal lawyers are the useful idiots of the criminal fraternity and that police officers who beat up suspects are to be commended as heroes. The filmmakers seem to have been blissfully unaware that the plot twist casually introduced into the middle of their film had the (presumably unwanted) effect of reversing its political stance, or if they were aware of the problem they ignored it. A suitably convoluted plot was obviously thought to be more important than political consistency. 4/10",0
"I though this would be an okay movie, since i like zombies and horror movies in general. But i did not think it would be such a piece of sh!t like it was. The only zombie in the movie is at the beginning and he gets ran over by a god damn car!!! The movie looks to be written by a porn director and filled by porn actors, i wouldn't ever call them actors! The costumes seems to be stolen from a local school play. Its seems like a road movie with almost no monsters. There is no fun at all in this piece of sh!t, only horror, but not in the way the director intended. I would rather be raped by a pedophile than see this movie ever again!!! ugh!",0
"That's right, you heard me. I am a huge fan of James Patterson. I own 10 of his books, and I have read the entire series about Lindsey Boxer. In my opinion, the screenwriter should be shot. <br /><br />What right did any film maker have to slaughter a terrific work of fiction and make it into a mockery of the mystery genre? If I ever thought that Harry Potter was butchered, then Michael O'Hara has proved me wrong. <br /><br />I can only pray that the next screenwriter who tackles this fabulous book will do it a great deal more justice. To Michael O'Hara and Russell Mulcahy: don't quit your day job.",0
